observation_index,timestamp,V_RAW,V_N,V1,V2,predicted_next_V_N,interval_state_json
62,2023-03-30T09:35:00Z,167.0,0.5566666666666666,0.8004999999999994,0.45566666666666633,0.5566666666666666,"{""count_elevated"":2.0,""count_extreme"":1.0,""max_median"":14.0,""mean_vn"":1.6613388420016904,""median"":300.0,""persist_baseline"":0.0,""since_max"":12.0,""std"":988.9861789844297}"
63,2023-03-30T09:36:00Z,500.0,1.5625,1.2291666666666652,0.44666666666666555,1.5625,"{""count_elevated"":2.0,""count_extreme"":1.0,""max_median"":13.125,""mean_vn"":1.7157542648872626,""median"":320.0,""persist_baseline"":1.0,""since_max"":13.0,""std"":985.0280853300015}"
64,2023-03-30T09:37:00Z,1000.0,2.34192037470726,0.6662138953942235,-0.22641295862607355,2.34192037470726,"{""count_elevated"":3.0,""count_extreme"":1.0,""max_median"":9.836065573770492,""mean_vn"":1.8121807973304331,""median"":427.0,""persist_baseline"":2.0,""since_max"":14.0,""std"":985.4512198311321}"
65,2023-03-30T09:38:00Z,100.0,0.3125,-3.4338407494145193,-2.808840749414522,0.3125,"{""count_elevated"":3.0,""count_extreme"":0.0,""max_median"":3.125,""mean_vn"":1.0530698409701735,""median"":320.0,""persist_baseline"":0.0,""since_max"":1.0,""std"":290.30155968502055}"
66,2023-03-30T09:39:00Z,100.0,0.5,1.2959601873536295,2.2169203747072603,0.5,"{""count_elevated"":3.0,""count_extreme"":0.0,""max_median"":5.0,""mean_vn"":0.993552663625698,""median"":200.0,""persist_baseline"":0.0,""since_max"":2.0,""std"":297.35630703473123}"
67,2023-03-30T09:40:00Z,5324.0,16.6375,24.112500000000004,15.95000000000001,16.6375,"{""count_elevated"":3.0,""count_extreme"":1.0,""max_median"":16.6375,""mean_vn"":2.082818832779927,""median"":320.0,""persist_baseline"":1.0,""since_max"":0.0,""std"":1265.8249308476884}"
68,2023-03-30T09:43:00Z,2400.0,7.5,-17.43333333333334,-9.591666666666672,7.5,"{""count_elevated"":2.0,""count_extreme"":2.0,""max_median"":16.6375,""mean_vn"":2.4431716647205026,""median"":320.0,""persist_baseline"":2.0,""since_max"":1.0,""std"":1334.145862423679}"
69,2023-03-30T09:51:00Z,343.0,1.0,0.8117424242424254,0.40606060606060657,1.0,"{""count_elevated"":2.0,""count_extreme"":2.0,""max_median"":15.521865889212828,""mean_vn"":2.472698127116046,""median"":343.0,""persist_baseline"":3.0,""since_max"":2.0,""std"":1330.1683836600873}"
70,2023-03-30T09:52:00Z,800.0,1.873536299765808,1.0608736664064542,0.37467473328129103,1.873536299765808,"{""count_elevated"":3.0,""count_extreme"":2.0,""max_median"":12.468384074941453,""mean_vn"":2.579030444964871,""median"":427.0,""persist_baseline"":4.0,""since_max"":3.0,""std"":1315.8687607643687}"
71,2023-03-30T09:53:00Z,5800.0,13.583138173302109,17.12763466042155,10.836065573770494,13.583138173302109,"{""count_elevated"":3.0,""count_extreme"":3.0,""max_median"":13.583138173302109,""mean_vn"":3.401239656518345,""median"":427.0,""persist_baseline"":5.0,""since_max"":4.0,""std"":1792.1201398219807}"
72,2023-03-30T09:54:00Z,1250.0,2.5,-22.47950819672131,-22.792740046838418,2.5,"{""count_elevated"":4.0,""count_extreme"":3.0,""max_median"":11.6,""mean_vn"":3.5345729898516782,""median"":500.0,""persist_baseline"":6.0,""since_max"":5.0,""std"":1770.8205053653016}"
73,2023-03-30T09:57:00Z,1100.0,1.375,7.656103629976585,5.354069086651056,1.375,"{""count_elevated"":4.0,""count_extreme"":3.0,""max_median"":7.25,""mean_vn"":3.555072989851679,""median"":800.0,""persist_baseline"":7.0,""since_max"":6.0,""std"":1756.5491345881055}"
74,2023-03-30T09:59:00Z,100.0,0.125,-0.7249999999999991,-0.0999999999999997,0.125,"{""count_elevated"":4.0,""count_extreme"":3.0,""max_median"":7.25,""mean_vn"":3.5411841009627896,""median"":800.0,""persist_baseline"":0.0,""since_max"":7.0,""std"":1756.5491345881055}"
75,2023-03-30T10:01:00Z,972.0,1.215,1.13,0.5850000000000001,1.215,"{""count_elevated"":3.0,""count_extreme"":3.0,""max_median"":7.25,""mean_vn"":3.47218410096279,""median"":800.0,""persist_baseline"":1.0,""since_max"":8.0,""std"":1755.4192838812676}"
76,2023-03-30T10:03:00Z,500.0,0.625,-0.7150000000000004,-0.4200000000000003,0.625,"{""count_elevated"":3.0,""count_extreme"":3.0,""max_median"":7.25,""mean_vn"":3.4471841009627897,""median"":800.0,""persist_baseline"":0.0,""since_max"":9.0,""std"":1748.9286040951533}"
77,2023-03-30T10:04:00Z,2394.0,2.462962962962963,2.548950617283949,1.4219753086419735,2.462962962962963,"{""count_elevated"":4.0,""count_extreme"":3.0,""max_median"":5.967078189300412,""mean_vn"":3.574270520715876,""median"":972.0,""persist_baseline"":1.0,""since_max"":10.0,""std"":1735.5097694913738}"
78,2023-03-30T10:05:00Z,300.0,0.30864197530864196,-4.150462962962963,-3.9922839506172867,0.30864197530864196,"{""count_elevated"":4.0,""count_extreme"":3.0,""max_median"":5.967078189300412,""mean_vn"":3.490679985736452,""median"":972.0,""persist_baseline"":0.0,""since_max"":11.0,""std"":1743.9825253966535}"
79,2023-03-30T10:07:00Z,194.0,0.2425,1.3810956790123452,1.4141666666666668,0.2425,"{""count_elevated"":3.0,""count_extreme"":3.0,""max_median"":7.25,""mean_vn"":3.3507186274226353,""median"":800.0,""persist_baseline"":0.0,""since_max"":12.0,""std"":1770.7366778327664}"
80,2023-03-30T10:09:00Z,1400.0,1.440329218106996,0.9149074074074075,0.31599279835390953,1.440329218106996,"{""count_elevated"":3.0,""count_extreme"":3.0,""max_median"":5.967078189300412,""mean_vn"":3.425907241963101,""median"":972.0,""persist_baseline"":1.0,""since_max"":13.0,""std"":1734.2166800412613}"
